text	trans	path
	主屏	
sync WORKSHOP FILES	正在同步 Steam 创意工坊文件...	screen.LoadingScreen
V. 1.2.14	疯狂小瑞瑞_LEORChn 内核汉化 v1.2.14	ui.menu.MainMenu
PRESS ANY KEY TO CONTINUE	点击进入	ui.menu.MainMenu

	开始游戏前	
NEW GAME	新的开始	ui.menu.MainMenu
EMPTY	空存档位	ui.menu.MainMenu
START NEW GAME	开始新游戏	ui.menu.MainMenu
IF YOU CONTINUE YOU WILL OVERRIDE THE EXISTING SAVE GAME, ARE YOU SURE?	确定要覆盖存档吗？	ui.menu.MainMenu
THE LATEST UPDATE INCLUDED SIGNIFICANT BALANCING CHANGES. WE RECOMMEND YOU RESTART WITH A NEW GAME.\n\nCONTINUE ANYWAY?	游戏已更新，但存档版本较旧。虽然还是可以玩，但是比较建议开新存档，这样可以享受更平衡的数值。\n\n要继续游戏吗？	ui.menu.MainMenu
THIS SAVE GAME WAS CREATED USING MODIFICATIONS WHICH HAVE BEEN DEACTIVATED OR ARE NOT INSTALLED ANYMORE. CONTINUING THE GAME WITHOUT THEM MIGHT CAUSE TECHNICAL ISSUES AND IS NOT RECOMMENDED.\n\nCONTINUE ANYWAY?	这个存档所用的 MOD 尚未安装或启用，继续游戏可能会出现 BUG。\n\n要继续游戏吗？	ui.menu.MainMenu
"FAILED TO CONNECT TO STEAM! YOUR PROGRESS (STATS, ACHIEVEMENTS, CLOUD SAVES) WON'T BE PERSISTED!"	无法连接 Steam！统计数据、成就、存档云存储功能将无法使用和保存！	ui.menu.MainMenu
YES	是	
NO	否	

CONTINUE GAME	旧的回忆	ui.menu.MainMenu
CONTINUE	继续游戏	ui.menu.MainMenu

OPTIONS	游戏设置	ui.menu.MainMenu
SOME SETTINGS HAVE BEEN MODIFIED. DO YOU WANT TO APPLY YOUR CHANGES?	有些设置发生了更改，要确认更改吗？	ui.newUI.options.OptionsMenu.CheckModifiedOptionsClickListener
APPLY	确认更改	ui.newUI.options.OptionsMenu.CheckModifiedOptionsClickListener
DISCARD	放弃	ui.newUI.options.OptionsMenu.CheckModifiedOptionsClickListener
VIDEO	视频设置	ui.menu.MainMenu
VIDEO RESOLUTION	分辨率	ui.newUI.options.OptionsMenu
FULLSCREEN	全屏	ui.newUI.options.OptionsMenu
ENABLE HIGH RESOLUTIONS	高分辨率	ui.newUI.options.OptionsMenu
THIS GAME IS OPTIMIZED FOR RESOLUTIONS OF 1280 X 720 TO 1440 X 900.\nUSING HIGHER RESOLUTIONS MAY AFFECT YOUR GAMING EXPERIENCE.	本游戏已着重优化 1280x720 至 1440x900 之间的分辨率。\n使用更高的分辨率可能会影响你的游戏体验。	ui.newUI.options.OptionsMenu
OK	确认	ui.newUI.options.OptionsMenu
CANCEL	取消	ui.newUI.options.OptionsMenu
